MIDAS,LAKE,BASIN,SAMPDATE,AGENCY,DEPTH,TYPE,PH,PHMETH,COLOR,COLRMETH,AorT,ALK,ALKMETH,CONDUCT,CONDMETH
9961,ANNABESSACOOK L,1,5/27/2021,CW,9,C,99.99,E,999,H,,19,B,99999,L
9961,ANNABESSACOOK L,2,5/27/2021,CW,5,C,99.99,E,999,H,,20.5,B,99999,L
9961,ANNABESSACOOK L,1,5/27/2021,CW,9,C,99.99,E,999,H,,19,B,99999,L
9961,ANNABESSACOOK L,1,5/28/2021,EI,,,,,,,,,,,
9961,ANNABESSACOOK L,1,6/4/2021,EI,,,,,,,,,,,
9961,ANNABESSACOOK L,2,6/4/2021,EI,,,,,,,,,,,
9961,ANNABESSACOOK L,1,6/12/2021,EI,,,,,,,,,,,
9961,ANNABESSACOOK L,2,6/15/2021,EI,,,,,,,,,,,
9961,ANNABESSACOOK L,1,6/23/2021,CW,6,C,99.99,E,999,H,,20,B,99999,L
9961,ANNABESSACOOK L,1,6/23/2021,CW,6,C,99.99,E,999,H,,20,B,99999,L
9961,ANNABESSACOOK L,2,6/23/2021,CW,5,C,99.99,E,999,H,,20.5,B,99999,L
9961,ANNABESSACOOK L,1,6/23/2021,CW,6,C,99.99,E,999,H,,20,B,99999,L
9961,ANNABESSACOOK L,1,6/23/2021,CW,6,C,99.99,E,999,H,,20,B,99999,L
9961,ANNABESSACOOK L,1,7/1/2021,EI,,,,,,,,,,,
9961,ANNABESSACOOK L,2,7/11/2021,EI,,,,,,,,,,,
9961,ANNABESSACOOK L,1,7/11/2021,EI,,,,,,,,,,,
9961,ANNABESSACOOK L,1,7/27/2021,CW,5.5,C,99.99,E,999,H,,20,B,99999,L
9961,ANNABESSACOOK L,1,7/27/2021,CW,5.5,C,99.99,E,999,H,,20,B,99999,L
9961,ANNABESSACOOK L,1,7/27/2021,CW,5.5,C,99.99,E,999,H,,20,B,99999,L
9961,ANNABESSACOOK L,1,7/27/2021,CW,5.5,C,99.99,E,999,H,,20,B,99999,L
9961,ANNABESSACOOK L,1,7/27/2021,EI,,,,,,,,,,,
9961,ANNABESSACOOK L,2,7/27/2021,CW,5,C,99.99,E,999,H,,20.5,B,99999,L
9961,ANNABESSACOOK L,2,7/27/2021,EI,,,,,,,,,,,
9961,ANNABESSACOOK L,1,7/27/2021,CW,5.5,C,99.99,E,999,H,,20,B,99999,L
9961,ANNABESSACOOK L,1,8/8/2021,EI,,,,,,,,,,,
9961,ANNABESSACOOK L,1,8/9/2021,CW,,,,,,,,,,,
9961,ANNABESSACOOK L,2,8/17/2021,EI,,,,,,,,,,,
9961,ANNABESSACOOK L,1,8/25/2021,CW,4.5,C,99.99,E,999,H,,21,B,99999,L
9961,ANNABESSACOOK L,1,8/25/2021,CW,4.5,C,99.99,E,999,H,,21,B,99999,L
9961,ANNABESSACOOK L,1,8/25/2021,CW,4.5,C,99.99,E,999,H,,21,B,99999,L
9961,ANNABESSACOOK L,2,8/25/2021,CW,4.5,C,99.99,E,999,H,,21.5,B,99999,L
9961,ANNABESSACOOK L,1,8/25/2021,CW,4.5,C,99.99,E,999,H,,21,B,99999,L
9961,ANNABESSACOOK L,1,8/25/2021,CW,4.5,C,99.99,E,999,H,,21,B,99999,L
9961,ANNABESSACOOK L,1,8/25/2021,CW,4.5,C,99.99,E,999,H,,21,B,99999,L
9961,ANNABESSACOOK L,1,8/25/2021,CW,4.5,C,99.99,E,999,H,,21,B,99999,L
9961,ANNABESSACOOK L,2,8/25/2021,CW,4.5,C,99.99,E,999,H,,21.5,B,99999,L
9961,ANNABESSACOOK L,2,8/25/2021,CW,4.5,C,99.99,E,999,H,,21.5,B,99999,L
9961,ANNABESSACOOK L,1,8/25/2021,CW,4.5,C,99.99,E,999,H,,21,B,99999,L
9961,ANNABESSACOOK L,1,8/25/2021,CW,4.5,C,99.99,E,999,H,,21,B,99999,L
9961,ANNABESSACOOK L,1,9/6/2021,EI,,,,,,,,,,,
9961,ANNABESSACOOK L,1,9/14/2021,CW,7,C,99.99,E,999,H,,22.5,B,99999,L
9961,ANNABESSACOOK L,1,9/14/2021,CW,7,C,99.99,E,999,H,,22.5,B,99999,L
9961,ANNABESSACOOK L,1,9/14/2021,CW,7,C,99.99,E,999,H,,22.5,B,99999,L
9961,ANNABESSACOOK L,1,9/14/2021,CW,7,C,99.99,E,999,H,,22.5,B,99999,L
9961,ANNABESSACOOK L,1,9/14/2021,CW,7,C,99.99,E,999,H,,22.5,B,99999,L
9961,ANNABESSACOOK L,1,9/14/2021,CW,7,C,99.99,E,999,H,,22.5,B,99999,L
9961,ANNABESSACOOK L,1,9/14/2021,CW,7,C,99.99,E,999,H,,22.5,B,99999,L
9961,ANNABESSACOOK L,2,9/14/2021,CW,5,C,99.99,E,999,H,,21.5,B,99999,L
9961,ANNABESSACOOK L,1,9/14/2021,CW,7,C,99.99,E,999,H,,22.5,B,99999,L
9961,ANNABESSACOOK L,1,9/25/2021,EI,,,,,,,,,,,
9961,ANNABESSACOOK L,1,10/6/2021,CW,9,C,99.99,E,999,H,,22.5,B,99999,L
9961,ANNABESSACOOK L,2,10/6/2021,CW,6,C,99.99,E,999,H,,22,B,99999,L
9961,ANNABESSACOOK L,1,10/6/2021,CW,9,C,99.99,E,999,H,,22.5,B,99999,L
9961,ANNABESSACOOK L,1,10/6/2021,CW,9,C,99.99,E,999,H,,22.5,B,99999,L
9961,ANNABESSACOOK L,1,10/6/2021,CW,9,C,99.99,E,999,H,,22.5,B,99999,L
9961,ANNABESSACOOK L,1,10/6/2021,CW,9,C,99.99,E,999,H,,22.5,B,99999,L
9961,ANNABESSACOOK L,1,10/6/2021,CW,9,C,99.99,E,999,H,,22.5,B,99999,L
9961,ANNABESSACOOK L,1,10/6/2021,CW,9,C,99.99,E,999,H,,22.5,B,99999,L
9961,ANNABESSACOOK L,2,10/9/2021,EI,,,,,,,,,,,
3828,BERRY P,1,5/26/2021,CW,7,C,99.99,E,999,H,,18.5,B,99999,L
3828,BERRY P,1,7/1/2021,CW,4,C,99.99,E,999,H,,21,B,99999,L
3828,BERRY P,1,7/1/2021,CW,4,C,99.99,E,999,H,,21,B,99999,L
3828,BERRY P,1,7/29/2021,CW,4,C,99.99,E,999,H,,22.5,B,99999,L
3828,BERRY P,1,7/29/2021,CW,4,C,99.99,E,999,H,,22.5,B,99999,L
3828,BERRY P,1,8/31/2021,CW,4,C,99.99,E,999,H,,22,B,99999,L
3828,BERRY P,1,8/31/2021,CW,4,C,99.99,E,999,H,,22,B,99999,L
3828,BERRY P,1,8/31/2021,CW,4,C,99.99,E,999,H,,22,B,99999,L
3828,BERRY P,1,8/31/2021,CW,4,C,99.99,E,999,H,,22,B,99999,L
3828,BERRY P,1,8/31/2021,CW,4,C,99.99,E,999,H,,22,B,99999,L
3828,BERRY P,1,8/31/2021,CW,4,C,99.99,E,999,H,,22,B,99999,L
3828,BERRY P,1,10/5/2021,CW,8,C,99.99,E,999,H,,21.5,B,99999,L
5242,BUKER P,1,6/18/2021,CW,,,,,,,,,,,
5242,BUKER P,1,7/28/2021,CW,,,,,,,,,,,
5242,BUKER P,1,8/24/2021,CW,,,,,,,,,,,
5242,BUKER P,1,10/7/2021,CW,,,,,,,,,,,
5310,CARLTON P,1,6/11/2021,CW,,,,,,,,,,,
5310,CARLTON P,1,7/8/2021,CW,,,,,,,,,,,
5310,CARLTON P,1,8/2/2021,CW,,,,,,,,,,,
5310,CARLTON P,1,9/13/2021,CW,,,,,,,,,,,
5310,CARLTON P,1,10/14/2021,CW,,,,,,,,,,,
8065,COBBOSSEECONTEE (LT),1,7/1/2021,CW,4,C,99.99,E,999,H,,23.5,B,99999,L
8065,COBBOSSEECONTEE (LT),1,7/1/2021,CW,4,C,99.99,E,999,H,,23.5,B,99999,L
8065,COBBOSSEECONTEE (LT),1,7/1/2021,CW,4,C,99.99,E,999,H,,23.5,B,99999,L
8065,COBBOSSEECONTEE (LT),1,7/1/2021,CW,4,C,99.99,E,999,H,,23.5,B,99999,L
8065,COBBOSSEECONTEE (LT),1,8/13/2021,CW,4,C,99.99,E,999,H,,24.5,B,99999,L
8065,COBBOSSEECONTEE (LT),1,8/13/2021,CW,4,C,99.99,E,999,H,,24.5,B,99999,L
8065,COBBOSSEECONTEE (LT),1,8/13/2021,CW,4,C,99.99,E,999,H,,24.5,B,99999,L
8065,COBBOSSEECONTEE (LT),1,9/22/2021,CW,4,C,99.99,E,999,H,,24.5,B,99999,L
